Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Last Name,Segment,City Type,Region,State,Postal Code,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-000001,27-08-2019,30-08-2019,First Class,CUST-00408,Krishna,Iyer,Corporate,Tier 1,North,Delhi,585225.0,Clothing,Womenswear,4964.99,5.0,0.0,654.3
ORD-000002,15-02-2023,19-02-2023,Same Day,CUST-00596,Arjun,Patel,Consumer,Tier 1,East,Bihar,158758.0,Electronics,Accessories,80255.56,4.0,0.0,14238.38
ORD-000003,14-05-2020,20-05-2020,Same Day,CUST-00456,Vivaan,Chatterjee,Corporate,Tier 2,North,Rajasthan,254353.0,Electronics,Laptops,11988.36,1.0,0.05,2018.6
ORD-000004,17-02-2020,19-02-2020,First Class,CUST-00204,Rohan,Das,SMB,Village,South,Andhra Pradesh,135930.0,Clothing,Menswear,3258.82,2.0,0.3,552.42
ORD-000005,21-03-2023,25-03-2023,Standard Class,CUST-00041,Sai,Singh,SMB,Tier 2,South,Telangana,713499.0,Grocery,Snacks,2573.13,5.0,0.0,624.69
ORD-000006,08-03-2019,09-03-2019,Same Day,CUST-00558,Aarav,Singh,SMB,Tier 2,East,West Bengal,691369.0,Furniture,Furnishings,15241.87,2.0,0.2,1922.01
ORD-000007,25-01-2021,31-01-2021,Standard Class,CUST-00452,Saanvi,Menon,SMB,Tier 1,North,Rajasthan,312170.0,Furniture,Furnishings,7913.6,1.0,0.1,1560.84
ORD-000008,13-10-2022,16-10-2022,First Class,CUST-00528,Kavya,Patel,Corporate,Tier 2,North,Punjab,399575.0,Grocery,Beverages,1146.89,4.0,0.15,180.75
ORD-000009,12-02-2023,19-02-2023,Standard Class,CUST-00331,Sai,Verma,Corporate,Tier 1,North,Punjab,727776.0,Furniture,Tables,21818.95,2.0,0.0,4493.11
ORD-000010,07-07-2020,12-07-2020,First Class,CUST-00086,Meera,Das,SMB,Tier 2,East,Bihar,382600.0,Electronics,Cameras,26512.23,2.0,0.05,9981.93
ORD-000011,04-05-2019,08-05-2019,Second Class,CUST-00109,Aadhya,Gupta,Consumer,Village,East,West Bengal,630338.0,Grocery,Staples,1173.33,3.0,0.0,131.72
ORD-000012,31-08-2020,06-09-2020,Same Day,CUST-00537,Meera,Nair,Consumer,Tier 2,South,Kerala,677222.0,Electronics,Accessories,36785.77,3.0,0.1,3459.16
ORD-000013,10-06-2019,17-06-2019,First Class,CUST-00463,Diya,Das,Corporate,Tier 1,West,Madhya Pradesh,857993.0,Grocery,Household,160.71,1.0,0.2,16.8
ORD-000014,17-04-2023,19-04-2023,First Class,CUST-00272,Anika,Chatterjee,Corporate,Tier 1,East,Bihar,193199.0,Clothing,Footwear,4239.74,3.0,0.2,774.14
ORD-000015,28-09-2022,01-10-2022,Second Class,CUST-00480,Kavya,Bose,Corporate,Tier 2,North,Rajasthan,356128.0,Grocery,Household,1914.74,5.0,0.3,456.88
ORD-000016,27-04-2022,30-04-2022,Second Class,CUST-00179,Anika,Patel,Consumer,Tier 2,West,Maharashtra,363826.0,Clothing,Womenswear,1124.27,1.0,0.0,203.63
ORD-000017,08-12-2021,10-12-2021,First Class,CUST-00011,Myra,Iyer,Corporate,Tier 1,North,Uttar Pradesh,827837.0,Furniture,Tables,26909.35,5.0,0.0,5785.85
ORD-000018,04-02-2019,05-02-2019,First Class,CUST-00258,Vihaan,Sharma,Corporate,Tier 1,South,Tamil Nadu,123849.0,Grocery,Beverages,1205.84,3.0,0.15,185.42
ORD-000019,09-10-2022,14-10-2022,Standard Class,CUST-00556,Rohan,Verma,Consumer,Village,North,Rajasthan,129144.0,Clothing,Womenswear,3690.72,5.0,0.0,708.89
ORD-000020,26-06-2023,29-06-2023,Same Day,CUST-00517,Priya,Verma,SMB,Tier 1,South,Karnataka,495857.0,Electronics,Mobiles,40606.92,4.0,0.2,3134.35
ORD-000021,16-07-2022,21-07-2022,,CUST-00117,Isha,Nair,SMB,Village,West,Maharashtra,339299.0,Grocery,Staples,2127.85,4.0,0.15,235.78
ORD-000022,25-07-2020,31-07-2020,Second Class,CUST-00026,Aadhya,Menon,Consumer,Tier 1,West,Goa,173915.0,Grocery,Household,133.25,2.0,0.1,31.5
ORD-000023,21-12-2023,27-12-2023,Second Class,CUST-00380,Anika,Mukherjee,Corporate,Tier 1,North,Punjab,244564.0,Grocery,Snacks,419.35,1.0,0.0,91.51
ORD-000024,18-03-2023,19-03-2023,Second Class,CUST-00105,Rohan,Rao,SMB,Tier 2,South,Andhra Pradesh,334391.0,Clothing,Footwear,7325.68,5.0,0.0,1850.99
ORD-000025,27-06-2021,03-07-2021,Standard Class,CUST-00080,Krishna,Bose,Corporate,Village,East,Jharkhand,761409.0,Clothing,Womenswear,3616.83,3.0,0.05,694.61
ORD-000026,07-04-2022,08-04-2022,Second Class,CUST-00414,Vihaan,Gupta,SMB,Tier 2,South,Telangana,858701.0,Clothing,Kidswear,3358.84,2.0,0.0,927.77
ORD-000027,12-06-2019,15-06-2019,Same Day,CUST-00425,Aadhya,Rao,Corporate,Tier 2,North,Haryana,782903.0,Grocery,Staples,331.37,1.0,0.15,-11.55
ORD-000028,11-06-2023,18-06-2023,Second Class,CUST-00256,Meera,Iyer,Consumer,Village,South,Kerala,332439.0,Electronics,Accessories,58015.92,3.0,0.0,11738.9
ORD-000029,02-02-2021,03-02-2021,Same Day,CUST-00458,Saanvi,Joshi,SMB,Tier 2,West,Maharashtra,469781.0,Furniture,Furnishings,10864.33,2.0,0.05,2896.33
ORD-000030,22-01-2020,27-01-2020,,CUST-00151,Ananya,Gupta,Corporate,Tier 2,West,Maharashtra,178266.0,Grocery,Household,1619.86,3.0,0.0,174.67
ORD-000031,07-12-2023,09-12-2023,Same Day,CUST-00178,Aditya,Singh,SMB,Village,West,Gujarat,157489.0,Grocery,Staples,546.93,1.0,0.0,163.18
ORD-000032,08-11-2023,10-11-2023,First Class,CUST-00216,Reyansh,Joshi,Corporate,Tier 1,West,Goa,589475.0,Electronics,Cameras,45771.31,2.0,0.0,10983.13
ORD-000033,27-03-2020,31-03-2020,Same Day,CUST-00234,Aditya,Verma,SMB,Tier 2,South,Telangana,363827.0,Grocery,Staples,1336.08,3.0,0.3,285.91
ORD-000034,27-09-2020,28-09-2020,Same Day,CUST-00585,Meera,Bose,SMB,Tier 2,North,Punjab,780593.0,Grocery,Beverages,691.42,2.0,0.0,75.6
ORD-000035,02-07-2023,09-07-2023,Standard Class,CUST-00503,Sai,Bose,Consumer,Tier 1,West,Goa,653476.0,Electronics,Mobiles,70593.34,4.0,0.0,12947.56
ORD-000036,10-08-2023,15-08-2023,Second Class,CUST-00497,Aadhya,Joshi,Consumer,Tier 2,North,Haryana,430121.0,Furniture,Tables,2621.51,1.0,0.5,306.04
ORD-000037,11-09-2021,14-09-2021,Same Day,CUST-00004,Rohan,Iyer,SMB,Tier 2,West,Goa,139259.0,Electronics,Accessories,26732.53,3.0,0.0,4419.85
ORD-000038,04-06-2020,10-06-2020,Standard Class,CUST-00352,Rohan,Singh,Consumer,Tier 2,South,Tamil Nadu,722156.0,Electronics,Accessories,72095.68,4.0,0.15,6785.36
ORD-000039,14-06-2019,17-06-2019,Same Day,CUST-00333,Aadhya,Mukherjee,Corporate,Village,North,Delhi,687212.0,Clothing,Womenswear,1454.5,3.0,0.0,390.97
ORD-000040,07-03-2019,13-03-2019,Standard Class,CUST-00355,Vivaan,Iyer,Corporate,Tier 1,West,Maharashtra,726216.0,Grocery,Household,1233.97,2.0,0.15,152.24
ORD-000041,04-03-2020,11-03-2020,Same Day,CUST-00230,Aadhya,Verma,SMB,Tier 1,North,Haryana,752583.0,Clothing,Footwear,1631.58,1.0,0.0,307.06
ORD-000042,08-12-2019,11-12-2019,First Class,CUST-00482,Aadhya,Patel,Consumer,Tier 2,West,Maharashtra,619018.0,Grocery,Household,381.84,1.0,0.0,70.87
ORD-000043,03-03-2019,08-03-2019,First Class,CUST-00408,Krishna,Iyer,Corporate,Tier 1,North,Delhi,763319.0,Furniture,Chairs,30459.31,4.0,0.1,3760.92
ORD-000044,26-05-2023,30-05-2023,Standard Class,CUST-00565,Meera,Iyer,Corporate,Village,North,Uttar Pradesh,661679.0,Grocery,Snacks,568.26,4.0,0.1,13.64
ORD-000045,28-01-2020,31-01-2020,Second Class,CUST-00549,Vihaan,Das,SMB,Tier 1,West,Madhya Pradesh,394474.0,Clothing,Footwear,1755.45,1.0,0.3,222.77
ORD-000046,10-04-2020,15-04-2020,Standard Class,CUST-00091,Aadhya,Nair,Corporate,Tier 1,South,Karnataka,521284.0,Grocery,Household,1288.92,3.0,0.15,264.0
ORD-000047,23-01-2019,29-01-2019,Standard Class,CUST-00086,Meera,Das,SMB,Tier 2,East,Bihar,449590.0,Furniture,Tables,18674.76,3.0,0.0,5419.77
ORD-000048,28-01-2022,31-01-2022,First Class,CUST-00317,Priya,Verma,Consumer,Tier 1,South,Telangana,187257.0,Furniture,Chairs,41451.93,5.0,0.05,14052.57
ORD-000049,23-04-2020,25-04-2020,Standard Class,CUST-00596,Arjun,Patel,Consumer,Tier 1,East,Bihar,594134.0,Electronics,Mobiles,52630.14,3.0,0.3,9341.2
ORD-000050,18-08-2022,19-08-2022,First Class,CUST-00310,Arjun,Bose,SMB,Village,South,Andhra Pradesh,626906.0,Furniture,Chairs,23070.75,3.0,0.2,3504.89
ORD-000051,25-06-2022,01-07-2022,Second Class,CUST-00096,Arjun,Singh,SMB,Tier 2,West,Maharashtra,768958.0,Clothing,Womenswear,5551.03,5.0,0.05,1747.86
ORD-000052,01-01-2020,05-01-2020,First Class,CUST-00003,Aadhya,Chatterjee,Corporate,Tier 1,North,Rajasthan,724171.0,Electronics,Mobiles,16284.58,1.0,0.1,2808.72
ORD-000053,12-01-2021,19-01-2021,First Class,CUST-00298,Ishaan,Mukherjee,Consumer,Tier 2,South,Kerala,428962.0,Electronics,Laptops,87606.33,5.0,0.1,12170.37
ORD-000054,06-01-2023,08-01-2023,Same Day,CUST-00453,Aditya,Patel,SMB,Village,South,Andhra Pradesh,836956.0,Furniture,Storage,9895.47,4.0,0.2,1356.4
ORD-000055,27-12-2019,30-12-2019,Second Class,CUST-00082,Arjun,Rao,Corporate,Tier 1,West,Gujarat,821718.0,Furniture,Tables,45646.31,5.0,0.5,4192.26
ORD-000056,27-07-2022,31-07-2022,Standard Class,CUST-00138,Priya,Iyer,Corporate,Tier 2,West,Maharashtra,894712.0,Electronics,Laptops,34928.29,2.0,0.05,12006.51
ORD-000057,21-02-2021,23-02-2021,Same Day,CUST-00420,Isha,Mukherjee,Consumer,Tier 1,West,Goa,758347.0,Clothing,Menswear,5195.54,3.0,0.0,523.25
ORD-000058,21-02-2023,28-02-2023,Same Day,CUST-00456,Vivaan,Chatterjee,Corporate,Tier 2,North,Rajasthan,235912.0,Furniture,Tables,13299.53,2.0,0.2,2446.42
ORD-000059,06-04-2021,13-04-2021,Second Class,CUST-00237,Vivaan,Das,Consumer,Tier 1,North,Rajasthan,552372.0,Clothing,Menswear,6602.47,5.0,0.1,1563.18
ORD-000060,01-12-2019,05-12-2019,First Class,CUST-00505,Vihaan,Verma,Corporate,Tier 1,North,Delhi,691280.0,Clothing,Menswear,3352.41,3.0,0.3,577.69
ORD-000061,11-05-2021,14-05-2021,Standard Class,CUST-00172,Priya,Mukherjee,Corporate,Tier 2,West,Gujarat,477715.0,Furniture,Tables,17952.33,3.0,0.0,2123.79
ORD-000062,07-06-2019,12-06-2019,First Class,CUST-00205,Sai,Chatterjee,Corporate,Tier 1,North,Delhi,693853.0,Furniture,Chairs,35365.82,4.0,0.05,9988.42
ORD-000063,18-05-2023,20-05-2023,Same Day,CUST-00234,Aditya,Verma,SMB,Tier 2,South,Telangana,125719.0,Furniture,Chairs,42677.96,5.0,0.15,5908.81
ORD-000064,18-10-2021,23-10-2021,Standard Class,CUST-00414,Vihaan,Gupta,SMB,Tier 2,South,Telangana,381902.0,Clothing,Footwear,1134.3,1.0,0.1,317.72
ORD-000065,12-09-2019,13-09-2019,Second Class,CUST-00181,Sai,Joshi,Corporate,Tier 1,West,Maharashtra,,Electronics,Cameras,53296.26,5.0,0.05,6740.39
ORD-000066,2022/05/03,06-05-2022,Standard Class,CUST-00334,Aditya,Nair,SMB,Tier 2,East,Bihar,346266.0,Furniture,Tables,8998.46,3.0,0.0,1315.53
ORD-000067,09-10-2021,10-10-2021,Second Class,CUST-00425,Aadhya,Rao,Corporate,Tier 2,North,Haryana,468029.0,Furniture,Chairs,10049.6,2.0,0.15,1373.84
ORD-000068,31-08-2021,02-09-2021,Standard Class,CUST-00425,Aadhya,Rao,Corporate,Tier 2,North,Haryana,241541.0,Furniture,Furnishings,16181.67,2.0,0.3,1413.53
ORD-000069,14-08-2022,18-08-2022,First Class,CUST-00568,Arjun,Singh,SMB,Tier 2,North,Punjab,805661.0,Electronics,Mobiles,47909.15,5.0,0.15,6138.66
ORD-000070,02-10-2022,09-10-2022,Same Day,CUST-00420,Isha,Mukherjee,Consumer,Tier 1,West,Goa,573041.0,Furniture,Storage,14658.83,4.0,0.0,3618.24
ORD-000071,23-10-2019,26-10-2019,First Class,CUST-00490,Myra,Rao,SMB,Tier 1,South,Andhra Pradesh,139100.0,Grocery,Beverages,1571.65,4.0,0.0,273.5
ORD-000072,18-05-2021,19-05-2021,Standard Class,CUST-00390,Isha,Chatterjee,Corporate,Tier 2,North,Delhi,351407.0,Clothing,Menswear,5095.18,4.0,0.0,1442.93
ORD-000073,04-12-2020,08-12-2020,Standard Class,CUST-00348,Krishna,Verma,Corporate,Tier 2,North,Punjab,691864.0,Grocery,Beverages,1114.9,5.0,0.1,76.1
ORD-000074,06-10-2022,12-10-2022,First Class,CUST-00348,Krishna,Verma,Corporate,Tier 2,North,Punjab,460928.0,Clothing,Kidswear,3569.34,2.0,0.5,199.46
ORD-000075,02-12-2019,09-12-2019,Second Class,CUST-00343,Rohan,Rao,SMB,Tier 2,South,Tamil Nadu,798591.0,Clothing,Footwear,1129.95,1.0,0.0,108.29
ORD-000076,09-04-2020,13-04-2020,Standard Class,CUST-00017,Diya,Patel,Corporate,Tier 1,East,West Bengal,587740.0,Grocery,Snacks,446.42,1.0,0.5,53.57
ORD-000077,06-02-2020,12-02-2020,Standard Class,CUST-00035,Reyansh,Rao,Consumer,Tier 1,East,West Bengal,277563.0,Furniture,Chairs,10875.82,5.0,0.0,2676.07
ORD-000078,21-06-2021,23-06-2021,Second Class,CUST-00496,Vivaan,Das,Consumer,Tier 2,East,Jharkhand,404577.0,Grocery,Snacks,1433.48,3.0,0.05,194.6
ORD-000079,29-02-2020,05-03-2020,Second Class,CUST-00223,Rohan,Iyer,SMB,Tier 1,West,Madhya Pradesh,401175.0,Clothing,Footwear,1239.68,1.0,0.2,174.04
ORD-000080,25-04-2021,30-04-2021,First Class,CUST-00490,Myra,Rao,SMB,Tier 1,South,Andhra Pradesh,647273.0,Furniture,Furnishings,37093.87,5.0,0.1,7505.71
ORD-000081,19-01-2021,24-01-2021,Standard Class,CUST-00501,Vivaan,Rao,Consumer,Tier 2,North,Delhi,128977.0,Electronics,Cameras,31525.46,3.0,0.0,10027.95
ORD-000082,06-08-2019,08-08-2019,Standard Class,CUST-00013,Priya,Menon,Consumer,Tier 2,South,Kerala,199897.0,Grocery,Staples,325.27,1.0,0.1,52.86
ORD-000083,09-02-2020,12-02-2020,Same Day,CUST-00282,Aadhya,Mukherjee,Consumer,Tier 1,West,Madhya Pradesh,186646.0,Clothing,Womenswear,1483.91,1.0,0.1,241.37
ORD-000084,30-08-2022,31-08-2022,Second Class,CUST-00589,Aarav,Verma,Consumer,Tier 1,North,Uttar Pradesh,550056.0,Clothing,Footwear,3215.22,2.0,0.5,161.32
ORD-000085,22-11-2020,27-11-2020,First Class,CUST-00257,Reyansh,Nair,Corporate,Tier 2,North,Rajasthan,146080.0,Grocery,Beverages,2213.8,4.0,0.15,448.88
